STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Shaheen 2014 Senate D,Brown 2014 Senate R
NH,NH House Merrimack 14,"1,334",610,"1,427",548,"1,005",366
NH,NH House Merrimack 15,"1,137",624,"1,349",511,827,363
NH,NH House Merrimack 16,"1,675",801,"1,731",812,"1,392",616
NH,NH House Merrimack 17,"1,069",888,"1,258",720,889,504
NH,NH House Merrimack 18,"1,136",721,"1,192",736,817,462
NH,NH House Merrimack 19,"1,571","1,120","1,579","1,166","1,323",838
NH,NH House Merrimack 20,"2,456","2,770","2,833","2,513","1,980","1,808"
NH,NH House Merrimack 21,"1,610","2,671","2,154","2,269","1,389","1,553"
NH,NH House Merrimack 22,874,"1,203","1,149",981,748,642
NH,NH House Merrimack 23,"3,251","3,145","3,303","3,310","2,627","2,490"
NH,NH House Merrimack 24,"3,436","4,225","3,319","3,968","2,315","2,763"
NH,NH House Merrimack 25 (F),"2,611","2,941","3,045","2,461","2,346","1,702"
NH,NH House Merrimack 26 (F),"4,285","5,637","5,331","4,515","3,822","3,179"
NH,NH House Merrimack 27 (F),"7,419","4,409","8,463","3,892","5,946","2,706"
NH,NH House Merrimack 28 (F),"3,776","2,729","4,029","2,622","3,029","1,804"
NH,NH House Merrimack 29 (F),"2,484","3,874","3,303","3,250","2,137","2,195"
NH,NH House Rockingham 01,"1,056","1,385","1,198","1,189",866,842
NH,NH House Rockingham 02,"3,311","4,671","3,434","4,392","2,570","3,205"
NH,NH House Rockingham 03,"1,921","3,151","2,289","2,632","1,373","1,887"
NH,NH House Rockingham 04,"3,606","5,902","3,599","5,540","2,512","4,047"
NH,NH House Rockingham 05,"5,968","7,338","5,690","7,323","3,646","5,185"
NH,NH House Rockingham 06,"6,825","9,237","7,612","8,350","4,319","5,867"
NH,NH House Rockingham 07,"3,507","4,825","2,964","5,224","2,061","3,741"
NH,NH House Rockingham 08,"6,068","9,312","6,026","8,285","3,874","6,174"
NH,NH House Rockingham 09,"1,625","2,117","1,793","1,697","1,188","1,204"
NH,NH House Rockingham 10,965,"1,591","1,039","1,380",699,"1,052"
NH,NH House Rockingham 11,"1,145","1,267","1,093","1,301",817,"1,011"
NH,NH House Rockingham 12,860,"1,580",983,"1,356",630,967
NH,NH House Rockingham 13,"3,388","5,267","3,530","5,071","2,342","3,841"
NH,NH House Rockingham 14,"3,343","5,126","3,339","5,078","2,209","3,725"
NH,NH House Rockingham 15,991,"1,593","1,104","1,395",671,"1,037"
NH,NH House Rockingham 16,"1,496","1,813","1,419","1,977","1,053","1,524"
NH,NH House Rockingham 17,"3,760","2,310","3,751","2,457","2,517","1,745"
NH,NH House Rockingham 18,"5,514","3,286","5,194","3,614","3,885","2,641"
NH,NH House Rockingham 19,"2,593","2,005","2,411","2,395","1,752","1,862"
NH,NH House Rockingham 20,"2,267","3,565","2,578","3,128","1,422","2,380"
NH,NH House Rockingham 21,"4,953","4,802","4,843","4,742","3,272","3,776"
