STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Klobuchar 2012 Senate D,Bills 2012 Senate R
MN,MN House 62A,"13,063","1,176","13,802","1,474","13,075","1,192"
MN,MN House 62B,"17,471","1,405","17,568","2,040","17,314","1,487"
MN,MN House 63A,"20,413","2,645","20,511","3,547","20,898","2,464"
MN,MN House 63B,"17,970","4,525","18,048","5,865","19,165","3,890"
MN,MN House 64A,"19,061","3,283","19,226","5,076","19,504","3,724"
MN,MN House 64B,"19,039","4,706","18,483","7,164","19,634","5,013"
MN,MN House 65A,"13,621","2,046","14,923","2,452","14,112","1,694"
MN,MN House 65B,"14,584","3,454","14,793","3,755","14,663","2,524"
MN,MN House 66A,"16,044","5,637","16,077","7,783","17,345","5,641"
MN,MN House 66B,"12,385","2,571","13,251","3,176","12,769","2,135"
MN,MN House 67A,"10,398","3,167","11,789","3,377","11,265","2,158"
MN,MN House 67B,"11,190","3,487","12,521","3,853","12,299","2,475"
