STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Warren 2012 Senate D,Brown 2012 Senate R,Markey 2014 Senate D,Herr 2014 Senate R
MA,MA House 1st Norfolk,"12,236","5,779","11,888","6,662","10,428","8,274","7,754","4,076"
MA,MA House 2nd Norfolk,"11,530","6,070","11,246","6,745","9,804","8,441","7,635","4,197"
MA,MA House 3rd Norfolk,"11,359","7,799","11,333","7,991","9,667","9,948","8,348","5,172"
MA,MA House 4th Norfolk,"12,324","9,248","11,888","9,844","10,048","11,974","8,618","6,480"
MA,MA House 5th Norfolk,"12,230","9,242","11,850","10,108","10,090","12,136","8,901","6,456"
MA,MA House 6th Norfolk,"12,528","7,941","11,523","9,245","10,013","10,997","7,996","5,808"
MA,MA House 7th Norfolk,"14,953","5,460","13,842","7,386","12,467","8,939","9,501","4,551"
MA,MA House 8th Norfolk,"14,765","7,491","13,557","9,764","11,738","11,840","9,731","6,118"
MA,MA House 9th Norfolk,"12,036","10,193","12,073","14,099","7,931","15,440","7,643","8,994"
MA,MA House 10th Norfolk,"12,618","9,189","11,433","11,165","8,965","13,985","7,848","7,672"
MA,MA House 11th Norfolk,"14,786","8,819","12,885","11,373","11,013","13,558","9,617","7,623"
MA,MA House 12th Norfolk,"12,753","8,814","11,444","10,179","9,439","12,493","8,514","6,879"
MA,MA House 13th Norfolk,"17,099","6,356","13,709","10,482","11,770","12,672","10,737","7,307"
MA,MA House 14th Norfolk,"16,517","5,335","13,236","10,370","11,598","12,188","9,682","7,223"
MA,MA House 15th Norfolk,"17,136","1,885","15,638","3,597","14,872","4,644","10,253","2,000"
MA,MA House 1st Plymouth,"11,856","10,670","11,349","10,778","9,537","12,854","7,938","7,787"
MA,MA House 2nd Plymouth,"9,510","10,558","10,669","9,808","9,123","11,654","6,772","6,625"
MA,MA House 3rd Plymouth,"14,789","8,683","12,449","11,972","10,745","13,904","9,335","7,994"
MA,MA House 4th Plymouth,"12,723","10,983","11,677","12,654","9,675","14,946","8,885","8,841"
MA,MA House 5th Plymouth,"11,430","11,417","10,685","12,650","8,731","14,846","8,056","8,467"
MA,MA House 6th Plymouth,"11,231","11,228","10,577","12,485","8,592","14,682","7,925","8,594"
MA,MA House 7th Plymouth,"9,921","10,903","10,323","10,669","8,286","13,002","7,329","6,940"
MA,MA House 8th Plymouth,"9,045","10,067","8,999","9,756","7,292","11,716","6,288","6,254"
MA,MA House 9th Plymouth,"10,544","2,512","10,311","2,317","9,582","3,057","5,567","1,490"
MA,MA House 10th Plymouth,"10,699","6,758","10,911","6,555","9,716","7,962","6,942","4,220"
MA,MA House 11th Plymouth,"12,226","6,923","11,350","7,991","9,944","9,568","7,580","4,928"
MA,MA House 12th Plymouth,"10,991","11,624","10,827","11,724","8,873","13,974","7,817","8,131"
MA,MA House 1st Suffolk,"9,123","2,831","7,683","2,609","7,071","3,345","4,972","1,389"
MA,MA House 2nd Suffolk,"12,466","3,144","10,443","3,911","9,304","5,174","6,915","2,293"
MA,MA House 3rd Suffolk,"16,034","3,109","12,835","4,938","11,482","6,428","7,722","2,795"
MA,MA House 4th Suffolk,"15,169","5,877","11,397","6,964","9,578","9,033","7,261","3,680"
MA,MA House 5th Suffolk,"13,467",736,"13,404",681,"13,013","1,058","6,448",486
MA,MA House 6th Suffolk,"15,327",744,"15,073",644,"14,637","1,079","8,121",476
MA,MA House 7th Suffolk,"10,230",574,"10,189",667,"10,230","1,295","4,784",384
MA,MA House 8th Suffolk,"16,708","2,349","14,271","4,882","13,278","6,238","8,564","2,841"
MA,MA House 9th Suffolk,"14,003","1,336","13,129","2,549","11,944","3,263","6,735","1,270"
MA,MA House 10th Suffolk,"15,193","5,708","13,723","7,469","12,264","9,239","10,538","4,727"
MA,MA House 11th Suffolk,"18,292",920,"17,136","1,036","16,896","1,672","10,514",767
MA,MA House 12th Suffolk,"16,953","1,673","17,172","1,923","16,551","2,649","10,430","1,240"
MA,MA House 13th Suffolk,"13,805","3,778","13,271","4,078","12,287","5,240","8,343","2,428"
MA,MA House 14th Suffolk,"15,602","3,371","14,593","3,692","13,739","4,713","9,756","2,249"
MA,MA House 15th Suffolk,"16,631","1,556","15,597","2,258","15,203","3,092","9,986","1,367"
MA,MA House 16th Suffolk,"10,187","6,426","10,240","5,693","9,157","6,904","6,992","3,109"
MA,MA House 17th Suffolk,"13,150","1,848","10,924","2,658","10,225","3,756","5,393","1,329"
MA,MA House 18th Suffolk,"10,740","1,905","9,510","2,955","8,767","3,983","5,120","1,419"
MA,MA House 19th Suffolk,"10,350","6,181","10,000","5,561","8,858","6,847","7,099","3,111"
MA,MA House 1st Worcester,"12,098","11,222","11,427","12,662","9,442","15,048","8,058","9,588"
MA,MA House 2nd Worcester,"8,388","8,453","9,434","7,860","8,070","9,600","6,206","5,455"
MA,MA House 3rd Worcester,"9,316","6,187","9,229","6,228","7,928","7,832","5,458","4,018"
MA,MA House 4th Worcester,"9,840","8,199","9,792","8,552","8,459","10,200","6,453","5,559"
MA,MA House 5th Worcester,"8,679","11,311","10,062","10,370","8,329","12,578","7,073","7,585"
MA,MA House 6th Worcester,"8,485","9,180","9,644","8,321","8,183","10,062","5,726","5,597"
MA,MA House 7th Worcester,"9,691","10,153","10,188","9,872","8,347","12,105","6,847","6,934"
MA,MA House 8th Worcester,"9,773","10,958","10,523","10,702","8,601","12,983","6,703","7,263"
MA,MA House 9th Worcester,"11,093","9,678","10,317","10,689","8,397","12,965","6,499","7,835"
MA,MA House 10th Worcester,"11,577","9,061","11,194","9,826","9,248","12,050","7,539","7,029"
MA,MA House 11th Worcester,"13,560","8,201","12,081","10,267","10,026","12,566","8,362","7,685"
MA,MA House 12th Worcester,"11,607","9,005","10,814","9,969","9,130","12,033","7,733","7,467"
MA,MA House 13th Worcester,"11,093","5,121","10,438","5,744","9,257","7,219","7,119","3,980"
MA,MA House 14th Worcester,"10,977","5,570","10,843","6,022","9,513","7,591","6,712","4,265"
MA,MA House 15th Worcester,"8,334","2,862","8,323","2,583","7,663","3,404","4,254","1,609"
MA,MA House 16th Worcester,"8,217","3,537","8,033","3,309","7,211","4,266","4,516","2,081"
MA,MA House 17th Worcester,"9,022","5,305","9,383","5,056","8,312","6,362","5,747","3,485"
MA,MA House 18th Worcester,"8,566","10,890","9,115","10,405","7,434","12,405","5,906","7,237"
