STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Casey 2012 Senate D,Smith 2012 Senate R
PA,PA House 138,"13,799","19,874","13,857","17,567","14,501","16,107"
PA,PA House 139,"9,354","20,135","10,817","16,320","11,007","15,625"
PA,PA House 140,"16,277","12,454","17,828","9,826","17,677","9,110"
PA,PA House 141,"14,792","12,128","16,211","9,147","16,049","8,578"
PA,PA House 142,"17,556","19,046","17,583","17,837","17,915","16,631"
PA,PA House 143,"18,259","18,464","16,135","18,859","16,196","18,124"
PA,PA House 144,"15,788","17,655","14,224","17,236","14,497","16,404"
PA,PA House 145,"12,943","18,209","13,170","16,213","13,233","15,633"
PA,PA House 146,"14,520","14,195","14,416","13,596","14,149","13,224"
PA,PA House 147,"13,410","17,771","12,934","16,288","12,950","15,792"
PA,PA House 148,"26,719","11,840","22,835","14,412","23,374","13,096"
PA,PA House 149,"22,909","10,279","20,230","12,904","20,576","11,728"
PA,PA House 150,"16,610","14,215","14,825","14,657","14,976","13,933"
PA,PA House 151,"18,720","13,971","16,265","15,455","16,477","14,520"
PA,PA House 152,"18,962","14,463","17,201","15,350","17,686","14,148"
PA,PA House 153,"24,971","11,366","23,162","12,854","23,510","11,746"
PA,PA House 154,"27,983","6,877","26,366","8,701","26,393","8,041"
PA,PA House 155,"19,419","16,484","16,463","17,738","16,718","16,900"
PA,PA House 156,"19,786","15,170","17,139","17,148","17,349","16,290"
PA,PA House 157,"20,263","12,752","16,995","15,231","17,292","14,407"
PA,PA House 158,"17,649","14,311","15,273","15,926","15,487","15,203"
PA,PA House 159,"19,693","5,145","21,487","4,014","19,539","4,016"
PA,PA House 160,"17,345","16,623","15,426","17,274","15,771","16,271"
PA,PA House 161,"19,639","15,880","19,559","15,130","19,716","14,209"
PA,PA House 162,"15,674","14,777","17,064","12,310","17,058","11,586"
PA,PA House 163,"18,604","14,139","17,931","14,081","18,097","13,194"
PA,PA House 164,"21,977","4,224","21,332","4,401","20,452","4,254"
PA,PA House 165,"19,431","16,841","17,558","17,933","18,017","16,665"
PA,PA House 166,"24,670","10,576","21,275","12,910","21,769","11,585"
PA,PA House 167,"20,255","14,727","16,853","17,585","17,185","16,682"
PA,PA House 168,"19,654","17,090","17,368","18,567","17,831","17,441"
PA,PA House 169,"8,669","21,153","9,553","18,087","9,656","17,388"
PA,PA House 170,"13,461","13,227","14,478","10,721","15,020","9,165"
PA,PA House 171,"13,772","19,189","12,927","18,316","13,448","17,215"
PA,PA House 172,"15,075","11,439","15,333","10,287","15,743","8,827"
PA,PA House 173,"13,745","9,801","14,716","7,838","14,910","6,617"
PA,PA House 174,"15,070","10,667","15,142","9,178","15,411","7,688"
PA,PA House 175,"25,767","4,769","21,091","4,910","20,542","4,310"
PA,PA House 176,"11,238","14,873","12,509","11,726","12,051","11,132"
PA,PA House 177,"15,029","10,528","16,254","8,260","16,016","7,118"
PA,PA House 178,"18,437","19,688","15,959","20,936","16,566","19,658"
PA,PA House 179,"20,842","2,084","21,193","1,756","19,934","1,636"
PA,PA House 180,"18,205","1,753","17,697","1,498","15,711","1,391"
PA,PA House 181,"27,677","1,582","27,900","1,338","25,955","1,309"
PA,PA House 182,"31,553","4,541","25,744","5,684","25,376","4,978"
PA,PA House 183,"11,602","18,291","12,914","14,591","13,412","13,402"
PA,PA House 184,"18,510","7,927","17,445","5,792","17,401","4,579"
PA,PA House 185,"22,368","6,079","22,836","5,052","22,135","4,256"
PA,PA House 186,"29,995","2,405","29,175","2,175","27,294","2,038"
PA,PA House 187,"12,908","18,445","12,234","16,737","12,784","15,529"
PA,PA House 188,"27,404","1,129","25,679","1,640","24,466","1,517"
PA,PA House 189,"12,005","13,411","12,085","10,517","11,614","10,043"
PA,PA House 190,"29,500",854,"31,286",702,"29,277",760
