Dist,Incumbent,PVI,Clinton %,Trump %,Obama %,Romney %
HI-02,Tulsi Gabbard (D),D+19,61.4,29.6,71.4,26.7
ID-01,Russ Fulcher (R),R+21,25.4,63.7,32.2,64.9
ID-02,Mike Simpson (R),R+17,29.8,54.5,33.1,64.1
IL-01,Bobby Rush (D),D+27,74.7,21.5,78.9,20.3
IL-02,Robin Kelly (D),D+29,77.6,19,80.7,18.6
IL-03,Dan Lipinski (D),D+6,54.9,39.4,56,42.5
IL-04,Chuy Garcia (D),D+33,81.3,13.1,80.9,17.1
IL-05,Mike Quigley (D),D+20,69.6,23.6,66,31.8
IL-06,Sean Casten (D),R+2,49.9,43,45.2,53.4
IL-07,Danny Davis (D),D+38,86.5,9.1,87.3,11.8
IL-08,Raja Krishnamoorthi (D),D+8,57.5,36,57.5,41
IL-09,Jan Schakowsky (D),D+18,69.1,24.6,65,33.3
IL-10,Brad Schneider (D),D+10,61,32.1,57.5,41.1
IL-11,Bill Foster (D),D+9,58.4,35.2,57.8,40.6
IL-12,Mike Bost (R),R+5,40.1,54.9,49.7,48.2
IL-13,Rodney Davis (R),R+3,44.3,49.5,48.7,48.9
IL-14,Lauren Underwood (D),R+5,45.3,49.3,44.2,54.2
IL-15,John Shimkus (R),R+21,24.5,70.7,34.1,64
IL-16,Adam Kinzinger (R),R+8,38.2,55,45.3,52.7
IL-17,Cheri Bustos (D),D+3,46.5,47.3,57.5,40.8
IL-18,Darin LaHood (R),R+15,32.8,60.5,37.4,60.7
IN-01,Peter Visclosky (D),D+8,53.8,41.3,61.2,37.4
IN-02,Jackie Walorski (R),R+11,35.9,58.9,42.1,56.1
IN-03,Jim Banks (R),R+18,29.9,64.7,35.7,62.5
IN-04,Jim Baird (R),R+17,30,63.9,36.8,60.8
IN-05,Susan Brooks (R),R+9,40.9,52.6,40.7,57.5
IN-06,Greg Pence (R),R+18,27.3,67.5,37.3,60.4
IN-07,Andre Carson (D),D+11,58.2,35.7,62.9,35.4
IN-08,Larry Bucshon (R),R+15,30.8,64.4,39.6,58.4
IN-09,Trey Hollingsworth (R),R+13,34,60.8,40.7,57.1
IA-01,Abby Finkenauer (D),D+1,44.6,48.1,55.9,42.3
IA-02,Dave Loebsack (D),D+1,44.4,48.5,55.5,42.5
IA-03,Cindy Axne (D),R+1,44.5,48,51.2,46.9
IA-04,Steve King (R),R+11,33.2,60.3,45,53.2
KS-01,Roger Marshall (R),R+24,24.2,69,27.6,70
KS-02,Steve Watkins (R),R+10,37.3,55.6,42.2,55.4
KS-03,Sharice Davids (D),R+4,46.9,45.7,44.3,53.8
KS-04,Ron Estes (R),R+15,32.8,59.8,36.1,61.5
KY-01,James Comer (R),R+23,23.9,72.4,32.1,66.4
KY-02,Brett Guthrie (R),R+19,27.6,67.5,35.1,63.3
KY-03,John Yarmuth (D),D+6,54.9,39.9,56.2,43.2
KY-04,Thomas Massie (R),R+18,29.2,65.1,34.8,63.4
KY-05,Hal Rogers (R),R+31,17.5,79.6,23.2,75
KY-06,Andy Barr (R),R+9,39.4,54.7,42.2,55.8
LA-01,Steve Scalise (R),R+24,26.8,69,26.9,70.9
LA-02,Cedric Richmond (D),D+25,75.1,22.4,75.8,22.8
LA-03,Clay Higgins (R),R+20,29.2,67.3,32.3,66.1
LA-04,Mike Johnson (R),R+13,36.6,60.6,39.7,59
LA-05,Ralph Abraham (R),R+15,34.1,63.5,37.7,61
LA-06,Garret Graves (R),R+19,31.3,65.3,32,66.2
ME-01,Chellie Pingree (D),D+8,54,39.2,59.4,38.1
ME-02,Jared Golden (D),R+2,41,51.3,52.8,44.2
MD-01,Andy Harris (R),R+14,34.9,60,37.3,60.5
MD-02,Dutch Ruppersberger (D),D+11,58.1,37.2,63,35
MD-03,John Sarbanes (D),D+13,62.8,31.9,61.3,36.5
MD-04,Anthony Brown (D),D+28,76.8,19.7,77.8,21.1
MD-05,Steny Hoyer (D),D+16,64.9,31.1,66,32.2
MD-06,David Trone (D),D+6,55.2,39.8,54.8,43
MD-07,Elijah Cummings (D),D+26,74,21.5,75.9,22.6
MD-08,Jamie Raskin (D),D+14,64.2,30.9,62.3,35.8
MA-01,Richard Neal (D),D+12,56.3,36,63.8,34.2
MA-02,Jim McGovern (D),D+9,55.3,36.2,58.6,39.1
MA-03,Lori Trahan (D),D+9,57.3,34.8,56.8,41.3
MA-04,Joe Kennedy (D),D+9,58.1,34.4,57,41.2
MA-05,Katherine Clark (D),D+18,68.2,25.3,65.1,33.1
MA-06,Seth Moulton (D),D+6,55.1,37.6,54.6,43.8
MA-07,Ayanna Pressley (D),D+34,83,11.8,82.3,15.6
MA-08,Stephen Lynch (D),D+10,59.5,33.8,57.7,40.8
MA-09,Bill Keating (D),D+4,51.7,41.2,55.4,43.1
MI-01,Jack Bergman (R),R+9,36.5,57.8,45.2,53.5
MI-02,Bill Huizenga (R),R+9,37.8,55.1,43,55.9
MI-03,Justin Amash (R),R+6,42.1,51.6,45.8,53.2
MI-04,John Moolenaar (R),R+10,34.6,59.4,45.4,53.4
MI-05,Daniel Kildee (D),D+5,49.7,45.4,60.6,38.3
MI-06,Fred Upton (R),R+4,42.8,51.2,48.8,50.1
MI-07,Tim Walberg (R),R+7,38.6,55.6,47.9,51
MI-08,Elissa Slotkin (D),R+4,43.8,50.5,47.9,51.1
MI-09,Andy Levin (D),D+4,51.4,43.7,57.3,41.9
MI-10,Paul Mitchell (R),R+13,31.6,63.8,43.7,55.3
MI-11,Haley Stevens (D),R+4,45,49.4,47,52.4
MI-12,Debbie Dingell (D),D+14,60.6,34.3,66.4,32.9
MI-13,Rashida Tlaib (D),D+32,78.8,18.1,85.2,14.3
MI-14,Brenda Lawrence (D),D+30,79.1,18.2,80.9,18.6
MN-01,Jim Hagedorn (R),R+5,38.1,52.8,49.4,48
MN-02,Angie Craig (D),R+2,44.9,46.1,48.9,48.9
MN-03,Dean Phillips (D),D+1,50.2,40.9,49.5,48.7
MN-04,Betty McCollum (D),D+14,60.9,30.2,62.3,35.4
MN-05,Ilhan Omar (D),D+26,73,18.3,73.2,23.9
MN-06,Tom Emmer (R),R+12,33,58.4,41.4,56.3
MN-07,Collin Peterson (D),R+12,30.8,61.4,44,53.7
MN-08,Pete Stauber (R),R+4,38.3,53.8,51.5,46
MS-01,Trent Kelly (R),R+16,32.4,65.4,37,61.9
MS-02,Bennie Thompson (D),D+14,63.6,35.1,66.4,33.1
MS-03,Michael Guest (R),R+13,36.8,61.3,39.1,60
MS-04,Steven Palazzo (R),R+21,28.2,69.4,31.2,67.6
MO-01,Lacy Clay (D),D+29,76.8,18.8,79.9,18.9
MO-02,Ann Wagner (R),R+8,42.1,52.5,41.5,57.1
MO-03,Blaine Luetkemeyer (R),R+18,28,67,36,62.1
MO-04,Vicky Hartzler (R),R+17,29.3,65.1,36.4,61.2
MO-05,Emanuel Cleaver (D),D+7,54.6,39.8,58.9,39.4
MO-06,Sam Graves (R),R+16,31.1,63.4,38,59.9
MO-07,Billy Long (R),R+23,24.6,70.1,30.4,67.6
MO-08,Jason Smith (R),R+24,21.1,75.3,32,65.9
MT-AL,Greg Gianforte (R),R+11,35.7,56.2,41.7,55.4
NE-01,Jeff Fortenberry (R),R+11,35.5,56.2,40.7,57.2
NE-02,Don Bacon (R),R+4,44.9,47.2,45.5,52.6
NE-03,Adrian Smith (R),R+27,19.7,73.9,27.7,70
NV-01,Dina Titus (D),D+15,61.6,32.6,65.3,32.2
NV-02,Mark Amodei (R),R+7,39.7,52,44.8,52.9
NV-03,Susie Lee (D),R+2,46.5,47.5,49.3,48.5
NV-04,Steven Horsford (D),D+3,49.5,44.6,54.2,43.5
NH-01,Chris Pappas (D),R+2,45.9,47.5,50,48.4
NH-02,Annie Kuster (D),D+2,47.8,45.4,54,44.3
NJ-01,Donald Norcross (D),D+13,60.6,36.1,65.8,34.2
NJ-02,Jeff Van Drew (D),R+1,46,50.6,53.7,45.5
NJ-03,Andy Kim (D),R+2,45.2,51.4,52.3,47.7
NJ-04,Chris Smith (R),R+8,41,55.8,45.2,54.8
NJ-05,Josh Gottheimer (D),R+3,47.7,48.8,48.5,51.5
NJ-06,Frank Pallone (D),D+9,56.2,40.6,62.1,37.9
NJ-07,Tom Malinowski (D),R+3,48.6,47.5,46.7,53
NJ-08,Albio Sires (D),D+27,75.7,21.5,79,21
NJ-09,Bill Pascrell (D),D+16,64.3,33.1,68.9,31.1
NJ-10,Donald Payne Jr. (D),D+36,85.2,12.8,88.5,11.6
NJ-11,Mikie Sherrill (D),R+3,47.9,48.8,47.1,52.9
NJ-12,Bonnie Watson Coleman (D),D+16,65,31.8,67.3,32.8
NM-01,Deb Haaland (D),D+7,51.6,35.1,55.3,39.6
NM-02,Xochitl Torres Small (D),R+6,39.9,50.1,44.9,51.7
NM-03,Ben R. Lujan (D),D+8,51.8,36.7,57.5,38.7
NY-01,Lee Zeldin (R),R+5,41.8,54,49.5,49
NY-02,Peter King (R),R+3,43.7,52.6,51.6,47.2
NY-03,Tom Suozzi (D),D+1,51.2,45.1,50.7,48.2
NY-04,Kathleen Rice (D),D+4,53,43.4,55.7,43.3
NY-05,Gregory Meeks (D),D+37,85.4,12.6,89.7,9.9
NY-06,Grace Meng (D),D+16,64.7,31.9,67.7,31
NY-07,Nydia Velazquez (D),D+38,86.4,10.3,88.8,10.4
NY-08,Hakeem Jeffries (D),D+36,84.2,13.4,89.2,10.2
NY-09,Yvette Clarke (D),D+34,82.9,14.3,85.1,13.9
NY-10,Jerrold Nadler (D),D+26,77.5,18.6,73.5,25
NY-11,Max Rose (D),R+3,43.5,53.3,51.6,47.2
NY-12,Carolyn Maloney (D),D+31,82.4,13.3,76.8,21.5
NY-13,Adriano Espaillat (D),D+43,91.8,5.4,94.6,4.6
NY-14,Alexandria Ocasio-Cortez (D),D+29,77.3,19.7,80.6,18.3
NY-15,Jose E. Serrano (D),D+44,93.5,4.9,96.7,3
NY-16,Eliot Engel (D),D+24,74.5,22.3,73.6,25.5
NY-17,Nita Lowey (D),D+7,58,38.1,57,41.8
NY-18,Sean Patrick Maloney (D),R+1,46.6,48.7,51.4,47.1
NY-19,Antonio Delgado (D),R+2,43.5,50.2,52,45.8
NY-20,Paul Tonko (D),D+7,53.3,40,59.1,38.7
NY-21,Elise Stefanik (R),R+4,39.4,53.1,52.1,46
NY-22,Anthony Brindisi (D),R+6,38.9,54.2,48.7,49.1
NY-23,Tom Reed (R),R+6,39.2,53.9,48.3,49.5
NY-24,John Katko (R),D+3,48.6,45,57,41.1
NY-25,Joe Morelle (D),D+8,54.9,38.7,58.6,39.3
NY-26,Brian Higgins (D),D+11,57.5,37.9,63.9,34.3
NY-27,Chris Collins (R),R+11,35,59.3,42.8,55.2
NC-01,G.K. Butterfield (D),D+17,65.9,31.1,null,null
NC-02,George Holding (R),R+7,44.6,50.9,null,null
NC-03,VACANT (Jones) (R),R+12,37,59.6,null,null
NC-04,David Price (D),D+17,65.7,29,null,null
NC-05,Virginia Foxx (R),R+10,39.2,56.6,null,null
NC-06,Mark Walker (R),R+9,41,55.6,null,null
NC-07,David Rouzer (R),R+9,39.6,56.9,null,null
NC-08,Richard Hudson (R),R+8,40.7,55.5,null,null
NC-09,(),R+8,42.4,53.5,null,null
NC-10,Patrick McHenry (R),R+12,35.7,60.5,null,null
NC-11,Mark Meadows (R),R+14,33.7,62,null,null
NC-12,Alma Adams (D),D+18,67.2,28.2,null,null
NC-13,Ted Budd (R),R+6,43.5,52.7,null,null
ND-AL,Kelly Armstrong (R),R+16,27.2,63,38.7,58.3
OH-01,Steve Chabot (R),R+5,44.5,51.1,46.3,52.4
OH-02,Brad Wenstrup (R),R+9,39.5,55.6,43.7,54.8
OH-03,Joyce Beatty (D),D+19,67.2,28.3,69.8,29
OH-04,Jim Jordan (R),R+14,30.5,63.9,42.1,56.1
OH-05,Bob Latta (R),R+11,34.4,59.3,44.1,53.9
OH-06,Bill Johnson (R),R+16,26.5,68.9,42.7,55.3
OH-07,Bob Gibbs (R),R+12,32.7,62.4,44.4,53.9
OH-08,Warren Davidson (R),R+17,30.4,64.7,36.4,61.9
OH-09,Marcy Kaptur (D),D+14,58.7,36.5,67.7,30.9
OH-10,Mike Turner (R),R+4,43.8,51,48.2,50.1
OH-11,Marcia Fudge (D),D+32,80.5,17,83.3,16.1
OH-12,Troy Balderson (R),R+7,41.6,53.1,44,54.4
OH-13,Tim Ryan (D),D+7,51.1,44.6,62.9,35.8
OH-14,David Joyce (R),R+5,42,53.4,47.6,51
OH-15,Steve Stivers (R),R+7,39.6,55.2,46.4,51.9
OH-16,Anthony Gonzalez (R),R+8,39.4,56.1,45.3,53.5
OK-01,Kevin Hern (R),R+17,32.7,61.4,34.2,65.8
OK-02,Markwayne Mullin (R),R+24,22.8,72.9,32.2,67.8
OK-03,Frank Lucas (R),R+27,20.9,73.6,26.1,73.9
OK-04,Tom Cole (R),R+20,28.4,65.6,32.9,67.1
OK-05,Kendra Horn (D),R+10,39.7,53.3,40.8,59.2
OR-01,Suzanne Bonamici (D),D+9,55,33.1,56.8,39.7
OR-02,Greg Walden (R),R+11,35.3,54.7,40.1,56.4
OR-03,Earl Blumenauer (D),D+24,68.4,21.7,71.6,24.5
OR-04,Peter DeFazio (D),EVEN,44.5,44.4,51.4,44.7
OR-05,Kurt Schrader (D),EVEN,46.4,42.3,50.1,46.8
PA-01,Brian Fitzpatrick (R),R+1,49.1,47.1,50.3,48.4
PA-02,Brendan Boyle (D),D+25,72.9,24.9,77.4,21.8
PA-03,Dwight Evans (D),D+41,90.9,7,91.8,7.5
PA-04,Madeleine Dean (D),D+7,57.9,38.5,56.1,42.8
PA-05,Mary Gay Scanlon (D),D+13,62.6,34.4,64.5,34.5
PA-06,Chrissy Houlahan (D),D+2,52.6,43.3,50.9,47.9
PA-07,Susan Wild (D),D+1,48.7,47.6,52.9,45.9
PA-08,Matt Cartwright (D),R+1,43.7,53.2,55.2,43.5
PA-09,Dan Meuser (R),R+14,31,65,41.2,57.2
PA-10,Scott Perry (R),R+6,43.4,52.3,46,52.6
PA-11,Lloyd Smucker (R),R+14,34.7,60.5,37.8,60.7
PA-12,VACANT (Marino) (R),R+17,29.8,66.3,37,61.4
PA-13,John Joyce (R),R+22,25.5,71,31.8,66.8
PA-14,Guy Reschenthaler (R),R+14,33.9,62.9,40.4,58.4
PA-15,Glenn Thompson (R),R+20,26.6,70,35.8,62.6
PA-16,Mike Kelly (R),R+8,38,57.9,46.7,51.9
PA-17,Conor Lamb (D),R+3,46.7,49.2,47.3,51.6
PA-18,Mike Doyle (D),D+13,61.7,34.9,63.5,35.2
RI-01,David Cicilline (D),D+14,59.2,34.3,66,32.1
RI-02,Jim Langevin (D),D+6,49.9,43.1,59.7,38.1
